"PERIOD_REF";"REGION";"INDICATORS";"UNIT_MES";VALUE;"STATUS"
"2018";"EU-27";"Ind_10_05";"UM_25";;"O"
"2018";"EU-27";"Ind_10_06";"UM_26";;"O"
"2018";"EU-27";"Ind_10_07";"UM_26";;"O"
"2018";"EU-27";"Ind_11_02";"UM_2";27.9;"A"
"2018";"EU-27";"Ind_12_02";"UM_21";537.84;"A"
"2018";"EU-27";"Ind_12_05";"UM_2";;"O"
"2018";"EU-27";"Ind_12_06";"UM_4";;"O"
"2019";"EU-27";"Ind_13_05";"UM_2";26.8;"A"
"2019";"EU-27";"Ind_13_06";"UM_2";31.6;"A"
"2017";"EU-27";"Ind_13_07";"UM_2";4.64;"A"
"2018";"EU-27";"Ind_13_08";"UM_2";2.18;"A"
"2019";"EU-27";"Ind_18_01";"UM_2";9;"A"
"2019";"EU-27";"Ind_18_02";"UM_2";12;"A"
"2018";"EU-27";"Ind_18_03";"UM_17";16938;"A"
"2019";"EU-27";"Ind_18_04";"UM_2";20;"A"
"2018";"EU-27";"Ind_19_01";"UM_2";14.1;"A"
"2018";"EU-27";"Ind_19_02";"UM_2";54.1;"A"
"2020";"EU-27";"Ind_19_03";"UM_2";30.4;"A"
"2019";"BEL";"Ind_01_01";"UM_1";11455.519;"A"
"2018";"BEL";"Ind_01_03";"UM_3";375.3;"A"
"2019";"BEL";"Ind_01_04";"UM_2";22.55601987;"A"
"2019";"BEL";"Ind_01_06";"UM_2";18.99760576;"A"
"2019";"BEL";"Ind_01_13";"UM_2";12.28430993;"A"
"2018";"BEL";"Ind_01_14";"UM_4";10.32855866;"A"
"2018";"BEL";"Ind_01_15";"UM_2";;"O"
"2018";"BEL";"Ind_01_16";"UM_18";83.9;"A"
"2018";"BEL";"Ind_01_17";"UM_18";79.4;"A"
"2009";"BEL";"Ind_04_01";"UM_7";30528;"A"
"2009";"BEL";"Ind_04_08";"UM_2";9.964622642;"A"
"2009";"BEL";"Ind_04_09";"UM_2";53.55411426;"A"
"2009";"BEL";"Ind_04_10";"UM_2";24.6495021;"A"
"2019";"BEL";"Ind_04_11";"UM_2";5.7;"A"
"2019";"BEL";"Ind_04_12";"UM_19";10.8;"A"
"2018";"BEL";"Ind_04_13";"UM_19";10.3;"A"
"2019";"BEL";"Ind_05_03";"UM_2";69;"A"
"2019";"BEL";"Ind_05_04";"UM_2";64.9;"A"
"2019";"BEL";"Ind_05_05";"UM_2";73.1;"A"
"2019";"BEL";"Ind_05_06";"UM_2";5.4;"A"
"2019";"BEL";"Ind_05_07";"UM_2";4.9;"A"
"2019";"BEL";"Ind_05_08";"UM_2";5.7;"A"
"2019";"BEL";"Ind_05_09";"UM_2";14.2;"A"
"2019";"BEL";"Ind_05_10";"UM_2";43.5;"A"
"2019";"BEL";"Ind_06_11";"UM_17";37500;"A"
"2019";"BEL";"Ind_06_12";"UM_2";1.12;"A"
"2019";"BEL";"Ind_16_01";"UM_2";1.2;"A"
"2018";"BEL";"Ind_17_01";"UM_20";4.8;"A"
"2018";"BEL";"Ind_17_02";"UM_2";41.9;"A"
"2018";"BEL";"Ind_17_03";"UM_2";7.7;"A"
"2018";"BEL";"Ind_17_04";"UM_2";13.6;"A"
"2019";"BEL";"Ind_09_03";"UM_22";12.06149287;"A"
"2019";"BEL";"Ind_09_04";"UM_23";1.824326151;"A"
"2018";"BEL";"Ind_10_04";"UM_24";511;"A"
"2018";"BEL";"Ind_10_05";"UM_25";53;"A"
"2018";"BEL";"Ind_10_06";"UM_26";;"O"
"2018";"BEL";"Ind_10_07";"UM_26";;"O"
"2018";"BEL";"Ind_11_02";"UM_2";28.7;"A"
"2018";"BEL";"Ind_12_02";"UM_21";562.24;"A"
"2018";"BEL";"Ind_12_05";"UM_2";7.823;"A"
"2018";"BEL";"Ind_12_06";"UM_4";3.752567212;"A"
"2019";"BEL";"Ind_13_05";"UM_2";25.9;"A"
"2019";"BEL";"Ind_13_06";"UM_2";40.7;"A"
"2017";"BEL";"Ind_13_07";"UM_2";6.29;"A"
"2018";"BEL";"Ind_13_08";"UM_2";2.67;"A"
"2019";"BEL";"Ind_18_01";"UM_2";4.8;"A"
"2019";"BEL";"Ind_18_02";"UM_2";9.3;"A"
"2018";"BEL";"Ind_18_03";"UM_17";21353;"A"
"2019";"BEL";"Ind_18_04";"UM_2";18.7;"A"
"2018";"BEL";"Ind_19_01";"UM_2";5.8;"A"
"2018";"BEL";"Ind_19_02";"UM_2";55.6;"A"
"2020";"BEL";"Ind_19_03";"UM_2";41.33;"A"
"2019";"BGR";"Ind_01_01";"UM_1";7000.039;"A"
"2018";"BGR";"Ind_01_03";"UM_3";63.9;"A"
