"PERIOD_REF";"PERIOD_COMP";"REGION";"INDICATORS";"UNIT_MES";"VALUE";"STATUS";"STATUS_1"
"2019";;"ZH";"Ind_01_07";"UM_2";99.33871465;"A";
"2019";;"ZH";"Ind_01_08";"UM_2";27.07638336;"A";
"2019";;"ZH";"Ind_01_09";"UM_4";5.195665834;"A";
"2019";;"ZH";"Ind_01_10";"UM_4";2.025982904;"A";
"2019";;"ZH";"Ind_01_11";"UM_4";10.84031562;"A";
"2019";;"ZH";"Ind_01_12";"UM_4";7.388302171;"A";
"2019";;"ZH";"Ind_01_13";"UM_5";691.687;"A";
"2019";;"ZH";"Ind_01_14";"UM_6";2.184132418;"A";
"2019";;"ZH";"Ind_02_01";"UM_2";80.67305967;"A";
"2019";;"ZH";"Ind_02_02";"UM_2";3.328786303;"A";
"2019";;"ZH";"Ind_02_03";"UM_2";5.647301438;"A";
"2019";;"ZH";"Ind_02_04";"UM_2";0.26843408;"A";
"2019";;"ZH";"Ind_02_05";"UM_2";9.501046391;"A";
"2019";;"ZH";"Ind_03_01";"UM_2";24.8660376;"A";
"2019";;"ZH";"Ind_03_02";"UM_2";26.73536051;"A";
"2019";;"ZH";"Ind_03_03";"UM_2";32.67985123;"A";
"2004/2009";;"ZH";"Ind_04_01";"UM_7";1728.85;"A";
"2004/2009";;"ZH";"Ind_04_02";"UM_2";21.86019608;"A";
"1979/1985";"2004/2009";"ZH";"Ind_04_03";"UM_2";18.31131426;"A";
"2004/2009";;"ZH";"Ind_04_04";"UM_2";41.65427886;"A";
"1979/1985";"2004/2009";"ZH";"Ind_04_05";"UM_2";-7.581551729;"A";
"2004/2009";;"ZH";"Ind_04_06";"UM_2";30.35081123;"A";
"2004/2009";;"ZH";"Ind_04_07";"UM_2";6.134713827;"A";
"2019";;"ZH";"Ind_05_01";"UM_2";82.2;"A";
"2020";;"ZH";"Ind_05_02";"UM_2";3.1;"A";
"2018";;"ZH";"Ind_06_01";"UM_8";104820.0814;"A";"P"
"2017/2018";;"ZH";"Ind_06_02";"UM_2";4.05382779;"A";"P"
"2018";;"ZH";"Ind_06_03";"UM_5";1045.222;"A";
"2018";;"ZH";"Ind_06_04";"UM_5";11.281;"A";
"2018";;"ZH";"Ind_06_05";"UM_5";141.288;"A";
"2018";;"ZH";"Ind_06_06";"UM_5";892.653;"A";
"2018";;"ZH";"Ind_06_07";"UM_9";119808;"A";
"2018";;"ZH";"Ind_06_08";"UM_9";3590;"A";
"2018";;"ZH";"Ind_06_09";"UM_9";13257;"A";
"2018";;"ZH";"Ind_06_10";"UM_9";102961;"A";
"2019";;"ZH";"Ind_07_01";"UM_2";14.59221225;"A";
"2019";;"ZH";"Ind_07_02";"UM_10";22.25513821;"A";
"2020";;"ZH";"Ind_08_01";"UM_2";0.905767389;"A";
"2019";;"ZH";"Ind_08_02";"UM_2";27.7;"A";
"2019";;"ZH";"Ind_08_03";"UM_11";44.7;"A";
"2018";;"ZH";"Ind_08_04";"UM_12";6.503158183;"A";
"2019";;"ZH";"Ind_09_01";"UM_5";3421.111;"A";
"2019";;"ZH";"Ind_09_02";"UM_5";5960.145;"A";
"2019";;"ZH";"Ind_10_01";"UM_12";488.1023138;"A";
"2019";;"ZH";"Ind_10_02";"UM_2";46.91927434;"A";
"2019";;"ZH";"Ind_10_03";"UM_2";38.86140929;"A";
"2019";;"ZH";"Ind_11_01";"UM_2";3.14096;"A";
"2019";;"ZH";"Ind_12_01";"UM_13";261;"A";
"2019";;"ZH";"Ind_12_02";"UM_12";4.1;"A";
"2019";;"ZH";"Ind_12_03";"UM_12";136.9;"A";
"2019";;"ZH";"Ind_12_04";"UM_14";5.1;"A";
"2019";;"ZH";"Ind_13_01";"UM_2";14.49586346;"A";
"2019";;"ZH";"Ind_13_02";"UM_2";41.60594001;"A";
"2019";;"ZH";"Ind_13_03";"UM_2";43.89819653;"A";
"2019";;"ZH";"Ind_13_04";"UM_2";23.68;"A";
"2019";;"ZH";"Ind_14_01";"UM_2";13.66091488;"A";
"2019";;"ZH";"Ind_14_02";"UM_2";4.40844631;"A";
"2019";;"ZH";"Ind_14_03";"UM_2";17.3092703;"A";
"2019";;"ZH";"Ind_14_04";"UM_2";26.70001009;"A";
"2019";;"ZH";"Ind_14_05";"UM_2";3.301502195;"A";
"2019";;"ZH";"Ind_14_06";"UM_2";13.99456385;"A";
"2019";;"ZH";"Ind_14_07";"UM_2";1.640260327;"A";
"2019";;"ZH";"Ind_14_08";"UM_2";0.310207478;"A";
"2019";;"ZH";"Ind_14_09";"UM_2";14.07711271;"A";
"2019";;"ZH";"Ind_14_10";"UM_2";1.797094255;"A";
"2019";;"ZH";"Ind_15_01";"UM_15";59.94471942;"A";
"2019";;"ZH";"Ind_15_02";"UM_15";8.493932811;"A";
"2019";;"ZH";"Ind_15_03";"UM_15";4.921208073;"A";
"2019";;"BE";"Ind_01_01";"UM_1";1039.474;"A";
"2010/2019";;"BE";"Ind_01_02";"UM_2";6.090210063;"A";
"2019";;"BE";"Ind_01_03";"UM_3";177.9735336;"A";
"2019";;"BE";"Ind_01_04";"UM_2";19.02317903;"A";
"2019";;"BE";"Ind_01_05";"UM_2";59.91376408;"A";
"2019";;"BE";"Ind_01_06";"UM_2";21.06305689;"A";
"2019";;"BE";"Ind_01_07";"UM_2";74.73972413;"A";
"2019";;"BE";"Ind_01_08";"UM_2";16.57434433;"A";
"2019";;"BE";"Ind_01_09";"UM_4";4.410805558;"A";
"2019";;"BE";"Ind_01_10";"UM_4";1.865553826;"A";
"2019";;"BE";"Ind_01_11";"UM_4";9.57650964;"A";
"2019";;"BE";"Ind_01_12";"UM_4";9.320056246;"A";
"2019";;"BE";"Ind_01_13";"UM_5";474.607;"A";
"2019";;"BE";"Ind_01_14";"UM_6";2.14780018;"A";
"2019";;"BE";"Ind_02_01";"UM_2";83.67607627;"A";
"2019";;"BE";"Ind_02_02";"UM_2";10.97736401;"A";
"2019";;"BE";"Ind_02_03";"UM_2";3.148555186;"A";
"2019";;"BE";"Ind_02_04";"UM_2";0.091447165;"U";
"2019";;"BE";"Ind_02_05";"UM_2";4.413155805;"A";
"2019";;"BE";"Ind_03_01";"UM_2";15.3786667;"A";
"2019";;"BE";"Ind_03_02";"UM_2";47.5437587;"A";
"2019";;"BE";"Ind_03_03";"UM_2";23.97620171;"A";
"2004/2009";;"BE";"Ind_04_01";"UM_7";5959.4;"A";
"2004/2009";;"BE";"Ind_04_02";"UM_2";6.912944256;"A";
"1979/1985";"2004/2009";"BE";"Ind_04_03";"UM_2";19.31419966;"A";
"2004/2009";;"BE";"Ind_04_04";"UM_2";42.5787831;"A";
"1979/1985";"2004/2009";"BE";"Ind_04_05";"UM_2";-3.167849061;"A";
"2004/2009";;"BE";"Ind_04_06";"UM_2";31.33234889;"A";
"2004/2009";;"BE";"Ind_04_07";"UM_2";19.17592375;"A";
"2019";;"BE";"Ind_05_01";"UM_2";82.4;"A";
"2020";;"BE";"Ind_05_02";"UM_2";2.5;"A";
"2018";;"BE";"Ind_06_01";"UM_8";79114.62118;"A";"P"
"2017/2018";;"BE";"Ind_06_02";"UM_2";1.83062052;"A";"P"
"2018";;"BE";"Ind_06_03";"UM_5";642.148;"A";
"2018";;"BE";"Ind_06_04";"UM_5";32.529;"A";
"2018";;"BE";"Ind_06_05";"UM_5";131.387;"A";
"2018";;"BE";"Ind_06_06";"UM_5";478.232;"A";
"2018";;"BE";"Ind_06_07";"UM_9";80394;"A";
"2018";;"BE";"Ind_06_08";"UM_9";10763;"A";
"2018";;"BE";"Ind_06_09";"UM_9";11612;"A";
"2018";;"BE";"Ind_06_10";"UM_9";58019;"A";
"2019";;"BE";"Ind_07_01";"UM_2";13.37962535;"A";
"2019";;"BE";"Ind_07_02";"UM_10";18.71290805;"A";
"2020";;"BE";"Ind_08_01";"UM_2";1.860910937;"A";
"2019";;"BE";"Ind_08_02";"UM_2";38.8;"A";
"2019";;"BE";"Ind_08_03";"UM_11";46;"A";
"2018";;"BE";"Ind_08_04";"UM_12";4.819973505;"A";
"2019";;"BE";"Ind_09_01";"UM_5";2887.038;"A";
"2019";;"BE";"Ind_09_02";"UM_5";5634.247;"A";
"2019";;"BE";"Ind_10_01";"UM_12";519.7999569;"A";
"2019";;"BE";"Ind_10_02";"UM_2";31.70144408;"A";
"2019";;"BE";"Ind_10_03";"UM_2";48.60991804;"A";
"2019";;"BE";"Ind_11_01";"UM_2";3.96666;"A";
"2019";;"BE";"Ind_12_01";"UM_13";226;"A";
"2019";;"BE";"Ind_12_02";"UM_12";4.8;"A";
"2019";;"BE";"Ind_12_03";"UM_12";156;"A";
"2019";;"BE";"Ind_12_04";"UM_14";4.8;"A";
"2019";;"BE";"Ind_13_01";"UM_2";16.27652726;"A";
"2019";;"BE";"Ind_13_02";"UM_2";50.90211593;"A";
"2019";;"BE";"Ind_13_03";"UM_2";32.82135681;"A";
"2019";;"BE";"Ind_13_04";"UM_2";25.13;"A";
"2019";;"BE";"Ind_14_01";"UM_2";8.360142453;"A";
"2019";;"BE";"Ind_14_02";"UM_2";1.872670843;"A";
